video_id,video_timestamp,video_duration,video_locationcreated,suggested_words,video_diggcount,video_sharecount,video_commentcount,video_playcount,video_description,video_is_ad,video_stickers,author_username,author_name,author_followercount,author_followingcount,author_heartcount,author_videocount,author_diggcount,author_verified
7319641832210681095,2024-01-02T18:09:29,6,LB,"Cillian Murphy Wife, jason momoa wife, Aaron Taylor Johnson, aaron taylor johnson and his wife, aaron taylor johnson wife, Cillian Murphy, aaron johnson and wife, Jason Momoa, Cillian Murphy And His Wife, aaron taylor",630600,3764,5300,3800000,💀,False,,pamelanassarr,Pam,,,,,,False
7309571564343659781,2023-12-06T14:50:56,28,UG,"wopwopwop challenge, wopchallenge, couple videos, Couple TikTok, couples hand placement, Couples Of TikTok, Coupletok, wopdance challenge, hand placement, Couple Pranks",628400,2294,2223,11300000,People stared at us so much 😂 #wopchallenge #couple #africa #viral #fypシ ,False,,jaymondy,jaymondy,,,,,,True
7275753383695289642,2023-09-06T12:39:14,36,US,,623700,6254,1513,3600000,W cameraman 🔥#viral #trending #xybca #fypシ ,False,,kristiiiaaan,Kristiiiaaan,,,,,,False
7298624034705558790,2023-11-07T02:48:55,35,PH,,620000,5917,1275,10500000,Tuesday bonding!😍💯🔥 @Julie Anne San Jose @Rayver cruz ,False,,rodjuncruz,Rodjun Cruz,,,,,,True
7303322276194159878,2023-11-19T18:40:29,19,VE,,615500,7545,3951,18000000,AHORA UN Vs✌🏻#jeffstar #dance ,False,,__jeffstar__,Jeffstar,,,,,,False
7321544726358822186,2024-01-07T21:13:15,36,US,,610600,58200,20300,4600000,Walmart Edition #fyp #walmart #toyota ,False,,lariyah.jesiree,Ms. Shirley,,,,,,False
7283934681240800554,2023-09-28T13:46:55,36,US,"wopwopwop challenge, wopwopwop guy in saggy pants, wopchallenge, couple videos, Couple TikTok, couples tiktok videos, Couples Of TikTok, couple challenge, wopchallenge man, cute couple tiktoks",600800,7393,997,6000000,He was so confused in the beginning! 🤣 #nepalitiktok #wopchallenge #blasiancouple #fyp ,False,,yoasianbrat,Simu🪽,,,,,,False
7285087741677702443,2023-10-01T16:21:22,36,US,,584300,2831,1595,3900000,THIS IS THE WOP I GREW UP WITH. ,False,,zoelaverne,Zoe LaVerne,,,,,,True
7295176230024924447,2023-10-28T20:49:46,35,US,"Freddy Krueger, disney 100, michael myers, Halloween Costume 2023, Nick Kosir, #halloween, Happy Halloween, Halloween Disney, halloween tiktoks, celebrity halloween costume",577600,19900,7611,6400000,We killed it.. ☠️🪦 ⚰️ #halloween #happyhalloween #nickkosir ,False,,officialnickkosir,Nick Kosir,,,,,,True
7297119295023222022,2023-11-03T02:29:46,36,PH,,577100,1470,767,8200000,tinitigan ba naman ako ng crush ko,False,,h2woofficial,H2WO,,,,,,True
7311153216006262021,2023-12-10T21:08:34,12,MX,,576300,1417,2930,6200000,Baile adictivo 💥 #fyp #parati #jennie #blackpink #kpop ,False,,paoxpou,Pao Valencia,,,,,,False
7312758615511682305,2023-12-15T04:58:19,23,KR,"nct official, NCT Dream, wayv, xiaojun, now drop it to the floor, Xiaojun Chinese Vocalist, nct woop woop dance, drop it to the floor song by pitbull, Xiaojun Edit, WayV band",575000,4867,3646,2300000,❄️Now drop it to the floor drop drop it to the floor🧥👕👋 #KUN #钱锟 #쿤  #XIAOJUN #肖俊 #샤오쥔 #wopchallenge  #WayV #威神V ,False,,official_wayv,WayV Official,,,,,,True
7299451839756504325,2023-11-09T08:21:14,15,PH,,574700,3129,2611,8300000,nalulungkot akooo!!! #magandangdilag #foryoupage #fyp #herlenenicolebudol ,False,,herlene_budol,HerleneNicoleBudol,,,,,,True
7336256981956709674,2024-02-16T12:44:43,31,US,,567800,955,1182,4100000,Quality brought to you by my iPhone 4 😭 #onthisday #wopchallenge #2013 #throwbacksongs #millenialsoftiktok #zillenials ,False,,.itsamaddoglife,MADISON,,,,,,False
7273198161554967850,2023-08-30T15:23:51,36,US,,566800,6242,886,3900000,,False,,cptincrunch,Lala,,,,,,False
7278771431054511406,2023-09-14T15:50:46,36,US,,566200,4226,1729,4100000,#fypシ #motheranddaughtergoals ,False,,mvasosss,Marah,,,,,,False
7281980300937252128,2023-09-23T07:22:46,36,DE,,564800,5164,1667,4700000,Bala bala ,False,,sara0liwia,sara oliwia,,,,,,False
7310332426486598954,2023-12-08T16:03:42,37,US,"taylor swift, travis kelce, taylor swift travis kelce, hanelinetwins, Twins Of TikTok, Twins, Dancing With Our Hands Tied, dancing on my own, slim 199x dance",564800,43500,17200,7700000,Our dance is a little rusty 😂😂#hanelinetwins @Landen Alft #dance #veteranoftiktok #viral #trend ,False,,hanelinetwins,Haneline twins,,,,,,False
7296478053637623041,2023-11-01T09:01:27,35,KR,,563100,3994,1559,4900000,,False,,u_uu40,피자나라신영공주,,,,,,False
7293454354042965254,2023-10-24T05:27:55,35,PH,,557600,4771,1938,8500000,wigol wigol w shaur,False,,doczgaming,Zie Barcelo,,,,,,False
7308906188064804142,2023-12-04T19:49:08,35,US,"ona splash twin, ona, ona and her girlfriend, shellie splash twin, Twins, splash twins, Twins Of TikTok, Two Twins, Identical Twins, ona and brandon",556600,973,821,8000000,She would’ve been so mad 🤣😭 #foryou #twins ,False,,splashtwinz,SplashTwinz,,,,,,True
7295846112466849057,2023-10-30T16:09:10,40,IT,,525000,17300,3261,5500000,"#fly #figlia #figlio #italy quando scopri da tua figlia che i pugliesi non sono italiani 😂 , ovviamente mio figlio allibito 🤣🤣🤣 sperava avesse preso la sua intelligenza 🫣😂",False,,nenenicoo,Nen e Nico,,,,,,False
7297851479803563270,2023-11-05T01:51:02,13,PH,,523000,2625,2518,6200000,Pack o sayaw? 🤪 #fyp ,False,,ivanaalawi,Ivana Alawi,,,,,,True
7313641879453584646,2023-12-17T14:05:49,29,DK,,522500,1975,1310,10000000,Her reaction was priceless 😍❤️ #wopchallenge #couple #fypシ #africa DC: @Slim 199x ,False,,jaymondy,jaymondy,,,,,,True
7291616247547038981,2023-10-19T06:35:07,35,PH,,520000,1097,793,5600000,waka waka eh eh ,False,,chickennuggetsop,Criselda Alvarez,,,,,,True
7330742666755312938,2024-02-01T16:05:43,32,US,"thomas harris, bigboy",513200,103700,17300,6100000,Yeaaa yall didn’t know big boy can move like that huhhh 😂😂🤦🏾‍♂️ #fypシ #dance ,False,,thomasharris21,Thomas Harris,,,,,,False
7314926384168717576,2023-12-21T01:10:22,12,KH,,512300,2748,1494,4900000,My Princess ❤️ @Jenna Norodom 🫶🏻🇰🇭  @mina #MINA #KVEENTERTAINMENT ,False,,mina_tiktok_official21,MINA_TIKTOK_OFFICIAL,,,,,,False
7271505889759087914,2023-08-26T01:56:58,36,US,"water, dc, slim 199x dance, slim 199x, water - tyla, make me water tyla, florida, Water Song by Tyla, dancing on my own, stand by me tiktok dance",511300,14400,1755,4400000,HAD TO COME TO FLORIDA AND HIT IT 😮‍💨🔥‼️ (DC: @Slim 199x ) #viral #viral #foryou #gsmooth #xyzbca #trending #fypシ #smoothxslim ,False,,officialgsmooth,G.smooth,,,,,,False
7281432900493462827,2023-09-21T19:58:37,15,US,,509200,11900,3813,4300000,I wanted to do this so bad 🤣🤣 #explore #viral #views #tiktok #famousfr #trending #relatable #fypシ゚viral ,False,,sarahsibby,Sarah rejahella,,,,,,False
7281865228000742699,2023-09-22T23:56:23,36,US,"Storm Reid, zendaya, Storm Reid Shedeur Sanders, storm reid and zendaya, Shedeur Sanders And Storm Reid, A Wrinkle In Time, storm reid throwing it, storm reid the nun 2, storm reid birthday party, storm reid euphoria",503300,2726,716,3500000,hth 😭@Kennedy ,False,,stormreid,Storm Reid,,,,,,True
7297643675318881541,2023-11-04T12:24:37,27,PH,,489900,22300,2393,3800000,#fyp #romemeneses ,False,,romemeneses,Jerome Meneses,,,,,,False
6980713257942240514,2021-07-03T10:52:46,7,AU,,486500,9471,5510,9700000,#fyp #thrush #weird #6daycleanse #canesten #weirddiq,False,,gucciwucci69,Emma Harris,,,,,,False
7308073553675537670,2023-12-02T13:57:53,29,UG,"wopwopwop challenge, wopchallenge, wops dance challenge, africa, wopwopwop dance challenge, Africa Travel, Travel TikTok, Travel Adventures, african cities, challenges on tiktok",483500,11900,6185,7700000,Who stole the show?🔥🤩 #africa #viral #wopchallenge #travel #fypシ ,False,,jaymondy,jaymondy,,,,,,True
7295664376609017093,2023-10-30T04:23:56,36,PH,,479300,986,899,4800000,on repeat wah wah wah,False,,l0veise_,erabella 🧃,,,,,,False
7299091181374360834,2023-11-08T09:01:43,19,KR,,476600,1426,989,5200000,,False,,haesung1109,해성,,,,,,False
7304658371506900266,2023-11-23T09:05:28,8,US,,472500,55500,2083,2500000,#утро #школа #хочудомой #нехочувшколу #fyp #rek,False,,tyatygulova,чмо ебаное,,,,,,False
7284361948970454318,2023-09-29T17:24:54,15,US,"Marcus Olin, Beasteater, that one dude on my fyp, marcus olin drop it to the floor, marcus olin and beasteater, marcus olin drop it, marcus and beasteater, Dog Ghost Costume, Dog Tiktoks, that one dude on my fyp original",469600,3081,1950,4100000,My dog didnt recognize me 😩💀,False,,beasteater,BeastEater,,,,,,True
7299419027321982240,2023-11-09T06:13:57,18,PL,,466900,3731,4424,4800000,W oczekiwaniu na lawete XD,False,,czvjnik,Czajnik,,,,,,False
7278816660629228806,2023-09-14T18:46:11,36,CA,,462600,4159,1013,2800000,my knees were not wop wop wopping😂,False,,user4445961087232,user4445961087232,,,,,,False
7285184493932072193,2023-10-01T22:36:42,15,NZ,,460600,12800,981,4000000,Felt cute might delete later #fyp #foryoupage ,False,,deoniem,Deonie,,,,,,False
7323177270967946497,2024-01-12T06:48:04,21,TH,,459500,1514,2183,3900000,เช็คอินห้องน้ำทุกที่ 😂 #อิงฟ้าวราหะ #อิงฟ้ามหาชน #engfawaraha ,False,,engfa32,ENGFA,,,,,,False
